Student_ID,CGPA,Technical_Skills_Count,Soft_Skills_Count,Projects_Count,Certifications_Count,Internship_Experience,Workshops_Attended,Hackathons_Participated,Eligible
111,6.45,6,4,2,4,1,1,3,0
112,5.81,2,5,2,4,0,3,2,0
113,9.65,1,1,3,4,1,1,1,0
114,9.04,3,4,1,4,1,4,4,0
115,8.17,7,5,4,1,1,2,2,1
116,9.36,5,3,0,3,1,4,4,0
117,9.02,6,3,5,1,1,1,1,1
118,5.93,7,5,1,0,0,4,3,0
119,9.46,6,3,5,4,0,0,1,1
120,7.7,7,2,3,1,1,1,4,1
121,9.04,4,2,4,0,1,1,4,1
122,9.48,0,5,2,2,0,3,2,0
123,6.59,7,5,0,4,1,5,4,0
124,5.55,3,1,3,3,0,5,3,0
125,6.14,7,5,2,3,1,1,1,0
126,7.14,1,4,1,3,1,4,4,0
127,9.09,3,3,3,0,1,5,2,1
128,9.3,5,4,1,1,1,2,3,0
129,5.03,5,5,3,4,0,2,0,0
130,7.55,4,3,3,4,0,3,1,1
131,7.09,7,2,1,4,0,0,3,0
132,6.11,0,3,3,4,0,5,1,0
133,5.6,4,1,5,2,1,5,0,0
134,6.69,1,0,2,4,0,4,1,0
135,9.71,2,3,5,2,0,0,0,0
136,6.62,5,5,5,1,0,0,0,0
137,7.59,0,1,2,3,0,1,4,0
138,8.52,5,2,0,2,1,5,3,0
139,6.82,1,2,0,3,0,2,0,0
140,9.86,1,0,3,3,1,1,4,0
141,9.81,7,5,2,0,0,4,3,1
142,6.26,5,4,5,2,1,0,0,0
143,7.49,4,4,1,4,0,3,4,0
144,6.5,5,3,3,0,1,3,2,0
145,6.42,7,2,5,4,1,0,2,0
146,5.18,4,1,1,3,0,0,1,0
147,8.05,5,0,4,0,1,0,2,1
148,7.51,4,4,0,4,1,3,4,0
149,5.26,7,3,3,4,1,3,2,0
150,6.39,2,3,3,1,0,1,3,0
151,9.54,3,2,1,0,1,3,4,0
152,6.2,3,1,0,0,1,1,1,0
153,5.72,4,1,1,3,0,4,4,0
154,7.45,4,4,1,3,1,0,4,0
155,9.93,6,3,0,0,0,5,4,0
156,6.21,6,2,4,1,0,4,2,0
157,8.36,2,1,2,1,0,5,4,0
158,8.81,7,3,5,3,1,5,1,1
159,6.19,3,1,2,2,0,3,1,0
160,8.64,2,0,4,4,0,5,2,0
161,6.84,6,1,0,3,0,2,1,0
162,8.16,6,1,3,1,1,2,2,1
163,8.17,1,3,0,0,1,3,0,0
164,7.68,5,1,5,1,0,2,3,1
165,5.45,6,1,1,0,1,5,4,0
166,9.18,3,0,5,3,1,4,1,1
167,6.6,4,1,0,4,1,1,1,0
168,5.93,7,1,2,4,0,2,0,0
169,5.2,0,3,3,3,1,4,4,0
170,7.95,6,2,5,4,1,1,2,1
171,8.39,1,0,4,4,0,5,0,0
172,5.08,5,1,0,2,0,2,4,0
173,7.56,0,2,3,2,0,5,4,0
174,6.13,2,3,5,2,0,4,2,0
175,8.23,5,0,3,0,0,2,0,1
176,5.87,2,5,2,2,0,5,0,0
177,8.45,2,3,1,3,1,4,3,0
178,6.93,4,2,3,2,0,4,2,0
179,9.68,2,0,3,3,0,3,3,0
180,5.69,6,1,0,2,0,0,4,0
181,6.71,0,2,4,4,0,3,3,0
182,5.57,1,3,0,2,1,5,2,0
183,9.62,7,0,2,3,0,3,4,1
184,9.39,6,2,3,3,1,2,0,1
185,6.29,4,5,1,3,1,3,3,0
186,8.3,1,2,3,2,0,3,0,0
187,9.09,2,3,1,0,0,2,0,0
188,7.78,3,3,1,3,0,4,2,0
189,7.65,5,1,5,0,1,0,3,1
190,6.21,4,1,5,2,1,2,1,0
191,5.47,2,2,1,0,1,2,0,0
192,9.49,4,3,4,0,1,5,2,1
193,9.5,3,2,0,3,1,4,1,0
194,8.17,7,4,5,2,1,0,4,1
195,6.7,0,5,2,3,0,3,1,0
196,6.75,6,3,5,4,0,1,2,0
197,8.63,0,4,4,1,1,5,4,0
198,9.49,5,4,4,0,1,3,0,1
199,9.44,0,3,1,2,0,5,4,0
200,8.9,7,1,4,0,0,4,3,1
201,8.21,6,2,2,2,0,0,0,1
202,5.42,6,0,2,3,0,2,0,0
203,5.81,7,0,3,1,0,0,4,0
204,9.49,3,5,4,1,1,5,1,1
205,8.03,1,3,5,1,1,4,3,0
206,5.05,7,1,3,1,1,0,3,0
207,5.51,3,1,5,0,0,5,2,0
208,8.32,3,1,2,2,1,4,0,1
209,5.03,2,0,4,4,1,0,2,0
210,5.8,7,4,1,2,0,5,2,0
211,7.74,0,5,1,0,1,0,2,0
212,8.46,4,0,4,3,0,0,3,1
213,8.26,6,1,5,4,1,5,2,1
214,6.12,5,0,3,4,1,1,4,0
215,8.56,1,0,3,4,1,2,3,0
216,6.19,6,5,1,0,0,5,4,0
217,6.63,4,2,3,1,1,1,3,0
218,8.73,2,3,1,1,1,0,0,0
219,8.25,7,4,0,1,0,2,2,0
220,9.25,2,2,1,2,1,3,2,0
221,8.29,1,3,0,1,0,0,0,0
222,7.84,4,1,4,4,0,0,0,1
223,5.47,1,5,0,1,0,2,1,0
224,6.84,1,5,2,4,0,3,2,0
225,6.33,0,2,5,4,0,5,1,0
226,6.22,7,3,3,2,0,5,3,0
227,9.87,4,5,0,1,1,5,4,0
228,6.97,0,2,2,3,1,0,3,0
229,9.46,6,5,2,1,1,0,0,1
230,8.16,0,0,3,3,1,4,1,0
231,8.97,6,0,1,2,0,1,4,0
232,7.51,5,2,2,0,0,2,2,1
233,7.88,0,2,5,2,1,1,1,0
234,7.46,3,4,0,2,0,0,0,0
235,5.98,2,1,3,3,0,1,0,0
236,8.61,2,0,0,2,0,3,1,0
237,6.4,3,5,1,4,0,0,1,0
238,5.12,6,2,3,2,1,2,0,0
239,8.23,6,3,2,2,0,4,4,1
240,5.89,7,5,0,3,0,0,3,0
241,9.7,1,1,5,2,1,2,0,0
242,9.77,4,3,0,2,1,3,3,0
243,9.57,4,5,5,1,0,4,3,1
244,6.85,4,1,2,4,0,0,4,0
245,5.08,0,3,2,4,0,5,1,0
246,9.64,4,0,1,4,0,1,1,0
247,7.14,4,2,1,2,1,1,1,0
248,9.83,6,5,2,4,1,0,0,1
249,9.82,4,2,3,1,0,5,2,1
250,9.27,2,4,2,0,0,2,2,0
251,6.47,3,5,2,0,0,5,2,0
252,6.93,5,2,4,1,1,3,4,0
253,9.26,6,5,3,0,1,2,4,1
254,6.58,1,0,3,0,0,2,2,0
255,5.85,3,1,5,3,0,1,1,0
256,7.78,4,1,1,2,1,5,1,0
257,9.68,1,2,1,3,1,0,2,0
258,8.48,1,3,1,3,0,4,1,0
259,7.85,3,2,0,1,1,1,2,0
260,5.49,3,5,3,0,1,1,0,0
261,8.08,3,1,4,1,1,0,3,1
262,9.95,6,5,1,4,1,4,3,0
263,5.7,6,4,1,3,1,4,3,0
264,7.59,5,1,1,0,0,5,2,0
265,9.39,3,3,1,2,1,2,0,0
266,8.7,5,3,1,3,1,1,4,0
267,8.49,0,4,0,0,0,2,3,0
268,8.51,7,5,4,4,1,5,1,1
269,6.8,2,5,3,1,1,4,2,0
270,6.47,7,5,4,0,0,0,2,0
271,9.05,5,3,2,0,1,2,4,1
272,9.05,2,2,5,3,0,0,1,0
273,9.34,4,2,3,0,1,2,0,1
274,9.57,0,1,1,4,0,0,3,0
275,7.56,1,0,2,2,0,0,0,0
276,7.51,3,2,5,4,0,1,1,1
277,8.99,4,2,2,0,1,5,1,1
278,8.25,1,5,2,2,0,0,2,0
279,8.51,6,5,2,4,1,4,0,1
280,8.98,2,4,1,2,1,5,4,0
281,9.45,1,2,5,3,0,0,1,0
282,6.69,7,1,2,0,1,0,2,0
283,6.88,3,5,4,2,1,5,3,0
284,5.47,3,4,1,1,0,3,4,0
285,7.89,7,2,2,3,0,1,4,1
286,5.18,5,1,2,0,0,1,2,0
287,7.33,5,4,4,3,1,1,4,1
288,7.71,6,0,5,1,1,1,4,1
289,6.43,2,5,0,0,1,1,2,0
290,7.95,3,1,0,3,1,3,2,0
291,5.15,0,2,4,3,0,0,1,0
292,5.19,4,4,5,2,0,2,2,0
293,9.11,2,0,0,2,0,0,3,0
294,6.8,2,1,3,3,0,1,0,0
295,5.64,1,0,5,2,0,4,2,0
296,7.61,2,1,3,0,1,3,1,0
297,8.85,6,2,5,2,1,2,3,1
298,6.08,7,1,3,0,1,1,0,0
299,8.11,4,2,0,0,0,2,2,0
300,5.43,0,1,3,0,1,3,1,0
301,5.26,1,4,3,0,1,5,0,0
302,7.66,4,1,0,3,0,1,0,0
303,7.7,7,1,4,4,1,3,1,1
304,8.19,7,3,5,4,0,5,0,1
305,8.63,5,3,1,0,0,3,4,0
306,9.88,2,1,3,4,0,0,3,0
307,7.58,6,3,5,0,1,5,4,1
308,6.61,3,2,0,4,0,1,0,0
309,8.98,5,3,1,1,0,1,2,0
310,6.35,3,1,1,2,0,4,1,0
311,7.19,4,5,5,4,0,5,1,1
312,5.39,0,0,2,0,0,0,3,0
313,5.13,3,5,1,2,1,1,1,0
314,9.81,6,5,3,2,0,5,1,1
315,9.18,4,5,4,3,1,1,3,1
316,8.48,1,5,5,3,0,2,4,0
317,7.04,2,0,3,4,1,4,4,0
318,5.87,0,1,2,3,1,3,0,0
319,5.78,7,1,1,0,0,4,1,0
320,6.25,6,0,5,3,1,5,0,0
321,7.75,6,4,2,1,1,0,0,1
322,8.57,0,3,3,4,1,4,0,0
323,8.3,1,4,3,2,1,5,3,0
324,6.4,0,2,3,2,1,5,2,0
325,9.77,4,5,4,1,1,4,4,1
326,8.69,0,5,3,0,1,4,3,0
327,7.77,0,0,3,2,1,2,2,0
328,8.06,0,0,1,1,0,0,0,0
329,7.1,7,4,5,3,0,3,3,1
330,6.24,4,2,5,4,1,5,2,0
331,6.78,5,4,5,1,0,0,4,0
332,8.79,2,2,4,1,1,5,2,0
333,5.07,3,1,5,3,0,3,3,0
334,5.58,5,5,1,0,0,5,4,0
335,5.23,0,1,2,3,1,5,4,0
336,5.2,1,0,0,3,0,2,1,0
337,9.28,6,1,5,2,1,0,2,1
338,8.52,1,4,1,1,1,2,2,0
339,7.37,4,2,5,1,0,5,2,1
340,5.49,2,0,4,3,0,5,0,0
341,7.46,0,1,1,3,0,2,4,0
342,7.37,4,0,0,1,1,1,2,0
343,5.87,3,0,1,1,0,4,3,0
344,7.17,2,2,5,1,1,3,3,0
345,6.99,2,4,5,0,0,1,1,0
346,8.08,4,5,0,3,1,2,4,0
347,8.18,5,4,4,3,1,2,0,1
348,5.23,6,3,1,2,1,1,1,0
349,6.87,1,4,4,2,1,3,2,0
350,8.13,5,1,4,4,0,4,4,1
351,7.52,2,3,2,1,1,0,0,0
352,9.28,1,3,2,1,1,4,4,0
353,8.29,2,3,1,4,0,4,2,0
354,5.81,7,3,1,3,0,1,1,0
355,5.35,6,4,5,1,1,1,2,0
356,8.21,2,3,5,2,0,1,3,0
357,5.13,2,1,4,0,1,3,1,0
358,7.93,3,1,2,3,0,5,3,1
359,9.7,1,0,1,0,1,1,2,0
360,7.88,3,1,1,0,0,1,1,0
361,6.94,1,5,1,4,0,1,2,0
362,8.22,6,0,2,0,1,2,4,1
363,7.29,6,1,1,1,1,3,4,0
364,7.73,7,3,4,4,1,5,0,1
365,9.71,3,2,1,2,0,0,2,0
366,6.93,3,3,3,0,1,4,3,0
367,9.81,3,4,5,1,1,0,0,1
368,9.53,6,0,0,1,1,3,1,0
369,5.98,6,2,4,2,1,2,3,0
370,5.35,4,1,1,4,1,4,4,0
371,5.5,3,3,3,4,0,1,3,0
372,5.09,7,0,2,4,0,3,3,0
373,5.47,5,0,4,2,0,4,0,0
374,8.42,5,1,4,2,0,4,2,1
375,5.36,2,0,1,2,0,0,4,0
376,6.59,0,1,2,4,0,5,1,0
377,9.22,3,1,1,0,0,4,1,0
378,5.12,0,3,3,2,1,5,4,0
379,9.07,0,0,0,2,1,4,1,0
380,6.41,2,4,5,4,1,5,3,0
381,5.59,0,4,5,2,1,0,1,0
382,8.48,7,3,2,0,1,2,3,1
383,8.14,6,3,0,4,1,2,4,0
384,9.39,0,1,3,2,1,4,4,0
385,8.68,6,4,4,2,1,5,0,1
386,9.02,6,0,3,3,0,3,1,1
387,6.41,5,4,5,3,1,3,0,0
388,5.89,6,3,0,1,0,4,3,0
389,8.75,0,3,2,1,1,4,1,0
390,9.03,1,1,1,2,0,4,0,0
391,9.95,7,0,0,3,0,2,4,0
392,7.06,3,3,2,1,1,4,3,1
393,6.86,7,5,0,4,1,5,3,0
394,8.88,7,0,5,3,1,3,1,1
395,6.7,3,4,4,0,1,1,1,0
396,9.65,0,1,5,0,0,0,4,0
397,9.29,2,4,4,0,1,1,2,0
398,7.14,1,5,1,0,0,3,1,0
399,8.75,2,3,4,3,1,3,2,0
400,8.77,2,3,3,4,0,5,1,0
401,5.52,0,0,5,0,0,5,3,0
402,9.51,4,3,5,4,1,4,2,1
403,7.53,0,5,5,1,0,1,0,0
404,9.13,5,0,1,1,0,1,1,0
405,6.6,4,5,5,2,0,2,3,0
406,9.48,6,2,0,3,1,2,0,0
407,6.95,1,3,5,0,1,5,1,0
408,5.05,4,4,3,4,0,2,1,0
409,9.53,0,4,2,4,0,1,2,0
410,5.46,0,0,0,3,1,4,2,0
411,6.6,2,5,5,1,1,0,2,0
412,9.75,0,5,5,3,0,1,3,0
413,9.75,6,5,5,4,1,4,4,1
414,7.87,5,5,4,3,0,0,2,1
415,8.16,0,2,0,1,1,4,0,0
416,7.24,3,3,4,1,1,4,2,1
417,6.47,3,5,3,0,1,2,3,0
418,6.64,2,1,5,0,1,1,0,0
419,8.36,4,1,3,0,1,0,3,1
420,8.76,4,4,3,1,1,2,2,1
421,8.96,3,3,5,4,0,0,4,1
422,8.95,5,1,1,0,0,5,0,0
423,5.46,1,0,4,3,0,0,1,0
424,7.47,6,3,0,4,0,3,0,0
425,5.29,7,4,5,2,0,0,3,0
426,7.75,6,2,0,0,1,4,2,0
427,7.21,6,0,0,2,0,0,4,0
428,9.44,5,0,1,0,0,5,0,0
429,6.75,3,5,1,4,1,2,0,0
430,5.59,6,3,4,2,1,5,0,0
431,5.71,5,2,1,1,0,3,1,0
432,8.81,1,0,5,0,1,3,2,0
433,8.09,4,2,3,3,1,5,4,1
434,5.51,3,4,0,2,1,4,0,0
435,5.42,7,0,3,3,1,2,3,0
436,8.5,0,1,1,2,1,3,3,0
437,5.36,6,4,0,4,1,3,3,0
438,9.11,1,4,2,3,1,5,1,0
439,8.53,1,5,3,0,1,3,4,0
440,5.41,1,0,2,1,0,1,3,0
441,5.42,4,1,4,4,0,2,1,0
442,9.93,5,2,5,2,0,3,4,1
443,6.87,2,1,3,0,0,2,0,0
444,6.85,6,4,0,2,1,4,4,0
445,9.06,0,0,0,3,1,2,4,0
446,9.74,6,1,5,3,0,4,4,1
447,9.93,3,1,2,1,0,1,4,1
448,8.77,7,4,0,3,1,4,4,0
449,6.88,5,2,5,4,1,5,4,0
450,5.42,1,1,3,2,1,4,0,0
451,8.89,7,5,1,2,0,0,3,0
452,7.79,6,1,1,4,1,4,1,0
453,7.12,4,3,5,3,0,1,4,1
454,9.53,1,4,0,3,1,4,0,0
455,5.56,5,3,4,4,1,4,0,0
456,7.46,3,4,3,1,1,1,0,1
457,5.06,7,4,4,0,1,4,1,0
458,7.34,0,3,2,0,1,4,1,0
459,5.28,1,2,5,3,0,2,3,0
460,5.59,6,2,0,0,1,5,2,0
461,5.59,6,4,5,0,0,0,3,0
462,8.25,7,3,2,0,1,4,4,1
463,8.73,4,1,4,3,1,3,4,1
464,7.92,7,4,3,2,0,1,1,1
465,9.81,4,5,4,3,1,3,3,1
466,6.87,2,4,1,3,0,5,0,0
467,6.43,4,0,4,1,0,3,0,0
468,9.34,2,2,4,1,0,3,3,0
469,6.12,0,3,4,3,1,5,4,0
470,9.82,3,1,4,4,1,5,0,1
471,5.06,2,5,3,4,0,3,4,0
472,9.85,1,1,0,1,1,1,3,0
473,5.22,5,5,3,1,1,0,0,0
474,9.46,6,4,5,2,1,5,4,1
475,7.64,1,1,2,1,1,3,2,0
476,9.96,6,1,1,0,1,5,0,0
477,5.37,3,4,0,3,1,5,1,0
478,7.77,7,2,5,3,1,2,2,1
479,9.85,4,0,5,3,1,4,3,1
480,7.62,5,2,1,2,0,3,4,0
481,8.15,1,2,1,2,0,3,0,0
482,8.48,5,0,0,0,0,4,1,0
483,7.27,2,4,5,3,0,4,0,0
484,8.14,3,2,5,0,0,5,2,1
485,7.92,1,3,0,1,1,1,4,0
486,9.51,4,3,5,3,0,5,4,1
487,5.23,5,0,2,0,1,4,1,0
488,6.4,4,3,3,2,1,0,4,0
489,9.75,5,4,0,2,1,2,1,0
490,9.45,1,1,5,2,1,3,2,0
491,7.28,3,4,2,0,0,1,1,1
492,8.1,0,0,4,0,1,3,3,0
493,6.39,1,1,0,0,1,0,3,0
494,5.94,4,3,3,4,0,5,4,0
495,7.32,0,2,4,3,1,3,1,0
496,6.77,7,3,4,4,1,2,1,0
497,7.92,3,4,4,4,1,0,0,1
498,5.39,4,4,4,1,1,3,1,0
499,9.87,3,0,1,1,1,5,0,0
500,9.93,5,2,3,2,0,4,2,1
501,8.49,1,2,2,4,0,4,0,0
502,7.68,3,1,0,1,1,5,4,0
503,6.55,4,1,2,4,1,2,3,0
504,9.07,1,4,1,3,1,0,4,0
505,8.42,6,0,4,4,1,1,0,1
506,5.81,4,4,5,2,0,4,0,0
507,9.55,4,5,0,0,1,4,0,0
508,9.11,6,2,3,2,0,3,4,1
509,9.75,6,2,0,4,0,0,1,0
510,8.63,0,4,0,4,1,4,2,0
511,8.07,2,2,2,0,1,3,4,0
512,7.09,3,1,5,2,0,1,0,1
513,9.66,3,2,4,2,0,1,1,1
514,9.33,0,1,3,4,0,4,4,0
515,5.23,7,3,0,3,0,4,4,0
516,5.13,5,0,1,1,1,4,4,0
517,6.88,7,0,1,4,0,0,0,0
518,9.05,3,2,5,4,1,4,1,1
519,9.94,6,0,4,1,1,3,4,1
520,5.75,7,5,5,0,0,1,3,0
521,7.97,0,3,0,4,1,0,2,0
522,6.9,3,2,4,3,1,1,4,0
523,9.85,3,1,0,0,1,0,0,0
524,9.21,4,3,3,0,1,1,1,1
525,9.19,0,5,1,0,1,5,2,0
526,7.34,6,3,5,4,0,4,3,1
527,7.07,5,0,2,0,0,4,0,1
528,6.37,3,5,5,2,1,3,3,0
529,5.28,5,1,4,4,1,4,2,0
530,9.32,2,4,3,4,0,1,0,0
531,9.06,0,3,1,1,0,3,4,0
532,10.0,0,0,3,0,1,1,4,0
533,9.98,0,3,5,4,1,2,1,0
534,7.78,6,1,5,3,1,3,3,1
535,8.84,7,1,2,3,0,3,1,1
536,9.72,6,2,0,4,1,0,0,0
537,9.25,4,4,0,4,1,5,0,0
538,6.24,7,4,3,3,1,1,3,0
539,7.25,0,0,3,3,1,1,0,0
540,5.65,4,4,4,2,1,1,3,0
541,9.77,6,1,3,3,1,4,4,1
542,8.03,2,4,0,2,0,0,0,0
543,6.14,1,0,5,4,0,0,2,0
544,8.36,4,3,3,0,0,1,3,1
545,8.09,3,4,1,0,0,4,3,0
546,6.79,0,4,1,1,0,1,0,0
547,5.57,7,1,0,2,1,4,3,0
548,8.36,1,1,3,3,1,5,1,0
549,7.6,4,3,5,2,0,2,2,1
550,8.86,7,5,3,1,1,0,1,1
551,7.6,7,5,3,1,0,2,2,1
552,9.26,5,2,1,2,1,3,4,0
553,7.76,6,4,0,3,0,0,4,0
554,7.8,5,1,4,4,0,2,0,1
555,9.38,3,2,5,4,1,2,3,1
556,7.02,1,4,1,4,0,3,2,0
557,5.67,2,4,0,1,1,4,4,0
558,5.14,4,2,0,2,0,5,0,0
559,8.78,5,1,4,1,1,5,4,1
560,8.1,5,3,2,3,0,5,2,1
561,8.52,4,5,4,0,0,3,3,1
562,6.06,5,4,4,1,1,4,2,0
563,5.68,2,0,0,3,1,5,1,0
564,5.07,7,0,2,3,1,3,4,0
565,6.75,5,0,2,3,1,0,4,0
566,7.95,4,3,3,0,1,5,2,1
567,6.96,0,5,4,4,0,2,2,0
568,7.19,5,4,4,2,1,2,4,1
569,9.52,4,1,2,1,0,4,0,1
570,6.74,7,1,2,0,1,3,2,0
571,7.57,7,5,5,3,0,1,2,1
572,8.92,0,3,2,0,1,0,0,0
573,6.98,5,5,0,1,0,1,1,0
574,8.11,5,4,0,2,1,2,0,0
575,9.31,4,2,0,1,0,5,2,0
576,9.75,3,2,5,0,1,3,3,1
577,5.74,3,4,4,3,0,4,4,0
578,9.63,1,4,5,3,1,4,2,0
579,7.46,3,1,5,4,1,5,2,1
580,6.29,2,3,2,4,0,5,3,0
581,7.3,7,3,0,2,1,4,3,0
582,9.9,1,5,3,2,0,2,1,0
583,7.46,7,1,2,4,0,0,0,1
584,6.64,3,0,5,4,0,1,4,0
585,8.17,0,2,2,1,0,2,3,0
586,6.2,6,4,5,1,1,3,0,0
587,5.38,4,5,2,3,1,4,1,0
588,5.64,7,2,0,3,1,3,3,0
589,5.64,3,2,1,4,1,2,0,0
590,5.76,0,5,3,1,1,3,1,0
591,5.69,6,3,3,4,1,1,4,0
592,8.2,1,1,1,4,0,4,0,0
593,5.91,4,0,3,2,1,1,0,0
594,6.73,7,0,0,4,1,4,3,0
595,9.48,3,5,2,3,0,4,1,1
596,7.37,1,5,1,2,0,3,2,0
597,8.34,7,1,2,1,0,3,3,1
598,5.86,3,2,5,3,1,4,2,0
599,5.96,1,1,3,0,0,4,0,0
600,5.2,7,1,4,1,1,3,1,0
601,5.84,3,4,3,0,0,3,2,0
602,6.39,6,4,3,3,1,2,0,0
603,5.89,0,2,1,1,1,3,0,0
604,5.44,2,3,2,0,0,1,2,0
605,5.6,6,0,1,0,0,2,1,0
606,7.3,7,4,0,1,0,5,4,0
607,6.03,0,2,2,4,0,1,0,0
608,6.82,4,5,0,3,1,2,4,0
609,7.52,3,1,0,3,0,2,0,0
610,8.45,2,4,1,2,0,4,4,0
611,5.2,6,1,3,1,1,2,0,0
612,9.0,2,1,5,3,1,5,4,0
613,8.14,4,4,4,0,0,0,0,1
614,5.41,7,2,5,1,1,2,1,0
615,9.37,4,5,3,0,0,2,2,1
616,9.6,2,0,3,1,1,1,0,0
617,5.31,4,2,2,0,1,2,0,0
618,6.38,4,3,1,0,0,3,1,0
619,9.03,7,3,2,1,0,5,4,1
620,8.74,3,0,4,2,0,1,0,1
621,5.92,0,5,1,0,0,1,3,0
622,6.05,5,3,5,1,1,1,4,0
623,6.85,7,1,5,4,1,1,2,0
624,7.42,1,3,5,4,1,3,2,0
625,8.09,7,4,3,2,0,1,0,1
626,6.84,2,1,0,1,1,5,1,0
627,7.31,1,2,3,2,0,1,4,0
628,8.74,2,5,3,0,0,3,2,0
629,5.18,2,0,1,4,0,5,2,0
